STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,LAT,LNG,LATFORMAT,LNGFORMAT,STATE
701337,99999,20130402,-3.3,24,-6.5,24,1022,23,9999.9,0,9.5,24,10.6,24,18.1,999.9,    5.0*,  -9.4*, 0.00A,999.9,0,65617,-168100,65.617,-168.1,AK
701337,99999,20130403,4.1,24,0.3,24,1025,20,9999.9,0,8.5,24,17.9,24,25.1,999.9,   12.2*,  -7.6*, 0.00D,999.9,1000,65617,-168100,65.617,-168.1,AK
701337,99999,20130404,9.1,24,4.8,24,1028.1,23,9999.9,0,9.4,24,16.3,24,23.9,32.1,19,-4, 0.00D,999.9,1000,65617,-168100,65.617,-168.1,AK
701338,99999,20130402,24.5,24,22.2,24,1020.2,16,9999.9,0,9.5,24,7.9,24,12,999.9,   30.2*,  21.2*, 0.00H,999.9,1000,61533,-165583,61.533,-165.583,AK
701338,99999,20130403,21.3,24,18.6,24,1018.3,23,9999.9,0,9.5,24,10.8,24,18.1,999.9,32,10, 0.00H,999.9,1000,61533,-165583,61.533,-165.583,AK
701338,99999,20130404,24.7,24,21.3,24,1020.3,24,9999.9,0,10,24,14.9,24,21,25.1,   33.8*,  17.6*, 0.00A,999.9,0,61533,-165583,61.533,-165.583,AK
701486,26642,20130402,8.1,24,3.5,24,1023.4,24,1023.1,24,10,24,8.7,24,12,999.9,19,-0.9, 0.00G,999.9,0,67733,-164550,67.733,-164.55,AK
701486,26642,20130403,14,24,5.1,24,1028.5,23,1028.4,24,9,24,14.8,24,20,999.9,21,7, 0.00G,999.9,1000,67733,-164550,67.733,-164.55,AK
701486,26642,20130404,12.9,24,3.3,24,1033.7,24,1033.3,24,10,24,11.8,24,17.1,999.9,21.9,3, 0.00G,999.9,0,67733,-164550,67.733,-164.55,AK
701486,26642,20130405,16,8,5.5,8,1028.8,8,1028.6,8,10,8,12,8,20,999.9,   19.9*,   9.0*, 0.00A,999.9,0,67733,-164550,67.733,-164.55,AK
701620,26508,20130402,-9.3,12,9999.9,0,9999.9,0,9999.9,0,10,12,9.8,12,13,999.9,   -0.4*, -16.6*, 0.00I,999.9,0,69367,-152133,69.367,-152.133,AK
701620,26508,20130403,-17.4,12,9999.9,0,9999.9,0,9999.9,0,10,12,2.7,12,8.9,999.9,   -7.6*, -32.8*, 0.00I,999.9,0,69367,-152133,69.367,-152.133,AK
701620,26508,20130404,-18.4,10,9999.9,0,9999.9,0,9999.9,0,10,10,4.7,10,6,999.9,   -9.4*, -29.2*, 0.00I,999.9,0,69367,-152133,69.367,-152.133,AK
701625,26542,20130402,-3,24,-10.5,24,9999.9,0,945.3,24,7.4,24,5.7,24,9.9,999.9,5,-7.6, 0.00I,999.9,0,68133,-151733,68.133,-151.733,AK
701625,26542,20130403,-12.9,24,-19.5,22,9999.9,0,951.7,24,8.1,24,3.9,24,11.1,999.9,1.4,-25.6, 0.00I,999.9,0,68133,-151733,68.133,-151.733,AK
701625,26542,20130404,-4.7,24,-15.2,24,9999.9,0,955.9,24,10,24,3.2,24,12,15,6.8,-14.8, 0.00I,999.9,0,68133,-151733,68.133,-151.733,AK
701625,26542,20130405,-2.4,9,-11.4,9,9999.9,0,951,9,6.1,9,12.8,9,18.1,22.9,    1.4*,  -9.4*, 0.00I,999.9,0,68133,-151733,68.133,-151.733,AK
701718,26551,20130402,17.5,24,5.5,24,9999.9,0,1012.2,24,10,24,7.9,24,11.1,15.9,26.6,10.4, 0.00I,999.9,0,67100,-157850,67.1,-157.85,AK
701718,26551,20130403,12.6,24,0.2,24,9999.9,0,1018.2,24,10,24,8.2,24,12,17.1,23,3.2, 0.00I,999.9,0,67100,-157850,67.1,-157.85,AK
701718,26551,20130404,15.4,24,-3.1,24,9999.9,0,1023.3,24,10,24,6.5,24,11.1,15.9,24.8,8.6, 0.00I,999.9,0,67100,-157850,67.1,-157.85,AK
701718,26551,20130405,21,9,-0.6,9,9999.9,0,1015.4,9,10,9,9.1,9,12,20,   23.0*,  17.6*, 0.00I,999.9,0,67100,-157850,67.1,-157.85,AK
701719,99999,20130402,15.2,24,8,24,1026.8,24,9999.9,0,9.9,24,2.9,24,6,999.9,27,3, 0.00G,999.9,1000,66888,-157160,66.888,-157.16,AK
701719,99999,20130403,23.1,24,6,24,1032.5,24,9999.9,0,10,24,12.1,24,25.1,30.9,35.1,8.1, 0.00A,999.9,0,66888,-157160,66.888,-157.16,AK
701719,99999,20130404,23.4,24,2.1,24,1037.6,24,9999.9,0,10,24,13.7,24,22.9,29.9,   33.8*,  14.0*, 0.00I,999.9,0,66888,-157160,66.888,-157.16,AK
701730,26535,20130402,20.2,20,12.4,20,1023.7,20,9999.9,0,10,20,3.8,20,9.9,18.1,   28.4*,  12.2*, 0.04G,999.9,0,66000,-153700,66,-153.7,AK
701730,26535,20130403,15,24,-1.1,24,1029.7,24,9999.9,0,10,24,13.2,24,21,34,23.5,9.7, 0.00G,999.9,1000,66000,-153700,66,-153.7,AK
701730,26535,20130404,16.2,24,-1.4,24,1034.7,24,9999.9,0,10,24,13.6,24,21,35,   21.2*,  12.2*,99.99,999.9,1000,66000,-153700,66,-153.7,AK
701740,26533,20130402,17.5,24,6,24,1024.4,24,999.1,24,10,24,3.1,24,7,999.9,33.1,3.9, 0.00G,22.8,0,66540,-151310,66.54,-151.31,AK
701740,26533,20130403,11.8,24,-3.7,24,1032.2,24,1006.6,24,10,24,5.1,24,9.9,20,26.1,-7.1, 0.00G,22,0,66540,-151310,66.54,-151.31,AK
701740,26533,20130404,14.3,24,-3.3,24,1037,24,1011.2,24,10,24,4.7,24,8.9,17.1,27,-6, 0.00G,22,0,66540,-151310,66.54,-151.31,AK
701740,26533,20130405,18,8,-4.1,8,1027.1,8,1001.4,8,10,8,2.1,8,6,999.9,   28.0*,   7.0*, 0.00I,22,0,66540,-151310,66.54,-151.31,AK
701780,26529,20130402,19.8,24,9.7,24,1022.4,24,1013.7,23,10,24,4.4,24,11.1,999.9,36,1.9, 0.00G,11,0,65175,-152107,65.175,-152.107,AK
701780,26529,20130403,18.9,24,3.3,24,1027.8,24,1019,23,10,24,9.9,24,13,22,26.1,12, 0.00G,11,0,65175,-152107,65.175,-152.107,AK
701780,26529,20130404,18.7,24,-0.5,24,1031.3,24,1022.5,23,10,24,7.9,24,13,19,26.1,9, 0.00G,11,0,65175,-152107,65.175,-152.107,AK
701780,26529,20130405,21.8,8,0.9,8,1022.5,8,1013.8,8,10,8,6.3,8,11.1,999.9,   26.1*,  16.0*, 0.00I,999.9,0,65175,-152107,65.175,-152.107,AK
701793,26524,20130402,26,6,24.5,6,9999.9,0,1011.7,6,10,6,5.8,6,8.9,15,   35.6*,   6.8*, 0.00I,999.9,0,65000,-150650,65,-150.65,AK
701793,26524,20130403,23,6,21.8,6,9999.9,0,1017.4,6,14.2,6,6.7,6,8,15.9,   26.6*,  17.6*, 0.00I,999.9,0,65000,-150650,65,-150.65,AK
701793,26524,20130404,24.8,6,23.6,6,9999.9,0,1018.6,6,19.2,6,8.4,6,9.9,20,   28.4*,  17.6*, 0.00I,999.9,0,65000,-150650,65,-150.65,AK
701940,26413,20130402,13.9,24,1.8,24,9999.9,0,9999.9,0,10,24,8.9,24,14,19,30.2,3.2, 0.00I,999.9,0,66567,-145267,66.567,-145.267,AK
701940,26413,20130403,9,24,-5.4,24,9999.9,0,9999.9,0,10,24,9,24,13,19,19.4,-2.2, 0.00I,999.9,0,66567,-145267,66.567,-145.267,AK
701940,26413,20130404,13.2,13,-0.5,13,9999.9,0,1018.8,8,10,13,6.6,13,14,17.1,   21.2*,  -5.8*, 0.00I,999.9,0,66567,-145267,66.567,-145.267,AK
701940,26413,20130405,16.9,8,-1.1,8,9999.9,0,1008.4,8,10,8,5.8,8,7,999.9,   21.2*,   8.6*, 0.00I,999.9,0,66567,-145267,66.567,-145.267,AK
701945,46405,20130402,5.1,24,-5.2,24,9999.9,0,946,24,10,24,4,24,8.9,999.9,24.8,-11.2, 0.00I,999.9,0,68117,-145567,68.117,-145.567,AK
701945,46405,20130403,-2.4,24,-14,17,9999.9,0,953.6,24,10,24,2.9,24,8,999.9,12.2,-23.8, 0.00I,999.9,0,68117,-145567,68.117,-145.567,AK
701945,46405,20130404,-1.2,24,-14.2,15,9999.9,0,956.6,24,10,24,1,24,6,999.9,   17.6*, -20.2*, 0.00I,999.9,0,68117,-145567,68.117,-145.567,AK
701945,46405,20130405,11.4,9,-12,9,9999.9,0,947.8,9,10,9,6.5,9,8.9,15,   17.6*,   3.2*, 0.00I,999.9,0,68117,-145567,68.117,-145.567,AK
701975,26422,20130402,16.9,24,1.9,24,1020.8,24,986.5,24,10,24,3.2,24,11.1,999.9,36,-2.9, 0.00G,999.9,0,64783,-141150,64.783,-141.15,AK
701975,26422,20130403,6.9,24,-9,24,1030.2,24,995.1,24,10,24,3.2,24,12,17.1,23,-14.1, 0.00G,999.9,0,64783,-141150,64.783,-141.15,AK
701975,26422,20130404,2.2,24,-13.4,24,1034.9,24,999.4,24,10,24,2.2,24,13,18.1,21,-20, 0.00G,999.9,0,64783,-141150,64.783,-141.15,AK
701975,26422,20130405,10.1,8,-8.9,8,1024.4,8,989.2,8,10,8,2.5,8,6,999.9,   21.9*,  -7.1*, 0.00I,999.9,0,64783,-141150,64.783,-141.15,AK
